"","year","canton","name","lv","party","party_strength","party_abbr","seats_with","seats_without","seat_difference"
"1",2011,"ZH","Anti PowerPoint Partei",,"Anti PowerPoint Partei",0.0346010925460907,,0,0,0
"2",2011,"ZH","Tierpartei Schweiz (TPS)","B","Tierpartei Schweiz (TPS)",0.400163511084542,,0,0,0
"3",2011,"ZH","Piratenpartei","E","Piratenpartei",0.861420027106594,,0,0,0
"4",2011,"ZH","Subitas (Schweiz)",,"Subitas (Schweiz)",0.0143497858786852,,0,0,0
"5",2011,"ZH","Schweizerische Narrenpartei - Die wenigstens Ehrlichen",,"Schweizerische Narrenpartei - Die wenigstens Ehrlichen",0.0614753773113508,,0,0,0
"6",2011,"ZH","Konfessionslose.ch - Liste für die Trennung von Staat und Kirche","E","Konfessionslose.ch - Liste für die Trennung von Staat und Kirche",0.31153969523046,,0,0,0
"7",2011,"ZH","Linke Alternative / AL - Alternative Liste","E","Linke Alternative / AL - Alternative Liste",1.02293988947563,,0,0,0
"8",2011,"ZH","parteifrei.ch",,"parteifrei.ch",0.436272449406724,,0,0,0
"9",2011,"BE","Tierpartei Schweiz (TPS) / Parti suisse pour les animaux (PSpA)","B","Tierpartei Schweiz (TPS) / Parti suisse pour les animaux (PSpA)",0.190488668454282,,0,0,0
"10",2011,"BE","Les Rauraques (RAU)","E","Les Rauraques (RAU)",0.193818547491529,,0,0,0
"11",2011,"BE","Sozio-Liberale Bewegung (SLB) / Mouvement socio-libéral (MSL)",,"Sozio-Liberale Bewegung (SLB) / Mouvement socio-libéral (MSL)",0.276619363159546,,0,0,0
"12",2011,"BE","Partei national orientierter Schweizer (PNOS) / Parti des Suisses Nationalistes (PSN)",,"Partei national orientierter Schweizer (PNOS) / Parti des Suisses Nationalistes (PSN)",0.301615219854175,,0,0,0
"13",2011,"BE","parteifrei.ch (pf) / les-sans-parti.ch (lsp)",,"parteifrei.ch (pf) / les-sans-parti.ch (lsp)",0.232634490386498,,0,0,0
"14",2011,"BE","Alpenparlament (ALP)","D","Alpenparlament (ALP)",0.398660518070416,,0,0,0
"15",2011,"BE","Jimy Hofer plus (JHp)","E","Jimy Hofer plus (JHp)",0.404569421067883,,0,0,0
"16",2011,"BE","Piratenpartei (PIRATEN) / Parti Pirate (PIRATES)","E","Piratenpartei (PIRATEN) / Parti Pirate (PIRATES)",0.734630078187954,,0,0,0
"17",2011,"BE","Alternative Linke (AL) / La Gauche (LG)","C","Alternative Linke (AL) / La Gauche (LG)",0.46181940020173,,0,0,0
"18",2011,"LU","Tierpartei Schweiz (TPS) / TPS",,"Tierpartei Schweiz (TPS) / TPS",0.305806604647485,,0,0,0
"19",2011,"LU","parteifrei.ch / parteifrei",,"parteifrei.ch / parteifrei",0.150849088122689,,0,0,0
"20",2011,"UR","Vereinzelte",,"Vereinzelte",4.2639175257732,,0,0,0
"21",2011,"SZ","Schwyzer Unternehmer","A","Schwyzer Unternehmer",1.94175269424121,,0,0,0
"22",2011,"OW","Karl Vogler (Christlichsoziale Partei Obwalden)",,"Karl Vogler (Christlichsoziale Partei Obwalden)",56.8979852894148,"csp",1,1,0
"23",2011,"GL","Vereinzelte",,"Vereinzelte",13.7288342063589,,0,0,0
"24",2011,"ZG","CSP - die Christlichsozialen","B","CSP - die Christlichsozialen",0.7420515845537,,0,0,0
"25",2011,"FR","les-sans-partis.ch / parteifrei.ch",,"les-sans-partis.ch / parteifrei.ch",0.439781716654681,,0,0,0
"26",2011,"FR","Parti Pirate Fribourg (PPFR) / Piratenpartei Freiburg (PPFR)","E","Parti Pirate Fribourg (PPFR) / Piratenpartei Freiburg (PPFR)",0.614239181014425,,0,0,0
"27",2011,"FR","MCI - Mouvement Citoyen Indépendant / UBB - Unabhängige Bürger Bewegung","E","MCI - Mouvement Citoyen Indépendant / UBB - Unabhängige Bürger Bewegung",0.230128178010914,,0,0,0
"28",2011,"FR","Politique Intégrale / Integrale Politik",,"Politique Intégrale / Integrale Politik",0.258048140784297,,0,0,0
"29",2011,"SO","parteifrei.ch",,"parteifrei.ch",1.33844369523006,,0,0,0
"30",2011,"SO","Tierpartei Schweiz",,"Tierpartei Schweiz",0.982975820659669,,0,0,0
"31",2011,"BS","Piratenpartei",,"Piratenpartei",1.9183076728697,,0,0,0
"32",2011,"BS","Freistaat Unteres Kleinbasel - FUK",,"Freistaat Unteres Kleinbasel - FUK",0.325253145136545,,0,0,0
"33",2011,"BS","Parteifrei.ch",,"Parteifrei.ch",0.48264534411494,,0,0,0
"34",2011,"BS","Volks-Aktion gegen zuviele Ausländer und Asylanten in unserer Heimat (VA)",,"Volks-Aktion gegen zuviele Ausländer und Asylanten in unserer Heimat (VA)",1.46129270978106,,0,0,0
"35",2011,"SH","Alternative Liste Schaffhausen","B","Alternative Liste Schaffhausen",4.27067515228037,,0,0,0
"36",2011,"AR","Vereinzelte",,"Vereinzelte",1.02216607327438,,0,0,0
"37",2011,"AI","Vereinzelte",,"Vereinzelte",3.57580210629439,,0,0,0
"38",2011,"AG","SLB - Sozial-Liberale Bewegung","B","SLB - Sozial-Liberale Bewegung",0.476444797824962,,0,0,0
"39",2011,"AG","PP - Piratenpartei",,"PP - Piratenpartei",0.774500391910159,,0,0,0
"40",2011,"TI","MontagnaViva",,"MontagnaViva",1.7916607388027,,0,0,0
"41",2011,"TI","Svizzera Italiana",,"Svizzera Italiana",0.257587376714888,,0,0,0
"42",2011,"TI","Rafforzare le famiglie",,"Rafforzare le famiglie",0.281877160778707,,0,0,0
"43",2011,"TI","Verdi liberali democratici della Svizzera Italiana (Vdl)",,"Verdi liberali democratici della Svizzera Italiana (Vdl)",1.05232597815539,,0,0,0
"44",2011,"VD","Parti Pirate Vaudois",,"Parti Pirate Vaudois",0.986558750970892,,0,0,0
"45",2011,"VD","Parti Nationaliste Suisse - PNS - PNOS",,"Parti Nationaliste Suisse - PNS - PNOS",0.0809232225259901,,0,0,0
"46",2011,"VS","La Gauche – Alternative Linke",,"La Gauche – Alternative Linke",0.649768969719608,,0,0,0
"47",2011,"GE","Parti Pirate Suisse",,"Parti Pirate Suisse",0.899931078091001,,0,0,0
"48",2011,"GE","La Gauche combative",,"La Gauche combative",0.787783844007052,,0,0,0
"49",2011,"GE","Alliance BLEUE contre le vol autorisé des assurances-maladie",,"Alliance BLEUE contre le vol autorisé des assurances-maladie",0.258709535910517,,0,0,0
