year,kt,party,id_kt,vote,seats,others_name,ap_s,ap_i,kname,s
2011,AG,bdp,AG2011,6.0999999,,,0,AG11B,Aargau,1
2011,AI,bdp,AI2011,0,,,0,,Appenzell I. Rh. ,0
2011,AR,bdp,AR2011,0,,,0,,Appenzell A. Rh.,0
2011,BE,bdp,BE2011,14.9,,,0,,Bern,4
2011,BL,bdp,BL2011,6.4000001,,,0,BL11B,Basel-Landschaft ,0
2011,BS,bdp,BS2011,2.2,,,0,BS11B,Basel-Stadt,0
2011,FR,bdp,FR2011,1.9,,,0,FR11D,Freiburg,0
2011,GE,bdp,GE2011,0,,,0,,Genf,0
2011,GL,bdp,GL2011,61.700001,,,0,,Glarus,1
2011,GR,bdp,GR2011,20.5,,,0,,Graubünden,1
2011,JU,bdp,JU2011,0,,,0,,Jura,0
2011,LU,bdp,LU2011,2.0999999,,,0,LU11C,Luzern,0
2011,NE,bdp,NE2011,1.5,,,0,NE11A,Neuenburg,0
2011,NW,bdp,NW2011,0,,,0,,Nidwalden,0
2011,OW,bdp,OW2011,0,,,0,,Obwalden ,0
2011,SG,bdp,SG2011,3.8,,,0,SG11D,St. Gallen,0
2011,SH,bdp,SH2011,0,,,0,,Schaffhausen,0
2011,SO,bdp,SO2011,4.4000001,,,0,SO11B,Solothurn,0
2011,SZ,bdp,SZ2011,3.4000001,,,0,SZ11C,Schwyz,0
2011,TG,bdp,TG2011,5,,,0,TG11B,Thurgau,0
2011,TI,bdp,TI2011,0,,,0,,Tessin,0
2011,UR,bdp,UR2011,0,,,0,,Uri,0
2011,VD,bdp,VD2011,.80000001,,,0,VD11C,Waadt,0
2011,VS,bdp,VS2011,.60000002,,,0,,Wallis,0
2011,ZG,bdp,ZG2011,0,,,0,,Zug,0
2011,ZH,bdp,ZH2011,5.3000002,,,0,ZH11C,Zürich,2
1995,AG,csp,AG1995,0,,,0,,Aargau,0
1999,AG,csp,AG1999,0,,,0,,Aargau,0
2003,AG,csp,AG2003,0,,,0,,Aargau,0
2007,AG,csp,AG2007,0,,,0,,Aargau,0
2011,AG,csp,AG2011,0,,,0,,Aargau,0
1995,AI,csp,AI1995,0,,,0,,Appenzell I. Rh. ,0
1999,AI,csp,AI1999,0,,,0,,Appenzell I. Rh. ,0
2003,AI,csp,AI2003,0,,,0,,Appenzell I. Rh. ,0
2007,AI,csp,AI2007,0,,,0,,Appenzell I. Rh. ,0
2011,AI,csp,AI2011,0,,,0,,Appenzell I. Rh. ,0
1995,AR,csp,AR1995,0,,,0,,Appenzell A. Rh.,0
1999,AR,csp,AR1999,0,,,0,,Appenzell A. Rh.,0
2003,AR,csp,AR2003,0,,,0,,Appenzell A. Rh.,0
2007,AR,csp,AR2007,0,,,0,,Appenzell A. Rh.,0
2011,AR,csp,AR2011,0,,,0,,Appenzell A. Rh.,0
1995,BE,csp,BE1995,0,,,0,,Bern,0
1999,BE,csp,BE1999,0,,,0,,Bern,0
2003,BE,csp,BE2003,0,,,0,,Bern,0
2007,BE,csp,BE2007,0,,,0,,Bern,0
2011,BE,csp,BE2011,0,,,0,,Bern,0
1995,BL,csp,BL1995,0,,,0,,Basel-Landschaft ,0
1999,BL,csp,BL1999,0,,,0,,Basel-Landschaft ,0
2003,BL,csp,BL2003,0,,,0,,Basel-Landschaft ,0
2007,BL,csp,BL2007,0,,,0,,Basel-Landschaft ,0
2011,BL,csp,BL2011,0,,,0,,Basel-Landschaft ,0
1995,BS,csp,BS1995,0,,,0,,Basel-Stadt,0
1999,BS,csp,BS1999,0,,,0,,Basel-Stadt,0
2003,BS,csp,BS2003,0,,,0,,Basel-Stadt,0
2007,BS,csp,BS2007,0,,,0,,Basel-Stadt,0
