"year","canton","party","party_id","party_strength","seats_with","seat_difference","seats_without","list_id"
2011,"BE","Alternative Liste",8,0.4618194002,0,0,0,"BE11B"
2011,"SH","Alternative Liste",8,4.2706751523,0,0,0,"SH11A"
2011,"VS","La Gauche",8,0.6497689697,0,0,0,
2011,"ZH","Alternative Liste",8,1.0229398895,0,0,0,"ZH11D"
2011,"BE","Alpenparlament",8,0.3986605181,0,0,0,"BE11A"
2011,"ZH","Anti PowerPoint Partei",8,0.0346010925,0,0,0,
2011,"GE","Alliance BLEUE contre le vol autorisé des assurances-maladie",8,0.2587095359,0,0,0,
2011,"OW","Karl Vogler (Christlichsoziale Partei Obwalden)",8,56.8979852894,1,0,1,
2011,"ZG","Die Christlichsozialen",8,0.7420515846,0,0,0,"ZG11A"
2011,"BS","Freistaat Unteres Kleinbasel",8,0.3252531451,0,0,0,
2011,"BE","Jimy Hofer plus ",8,0.4045694211,0,0,0,"BE11D"
2011,"ZH","Konfessionslose.ch",8,0.3115396952,0,0,0,"ZH11D"
2011,"GE","La Gauche combative",8,0.787783844,0,0,0,
2011,"FR","Mouvement Citoyen Indépendant / Unabhängige Bürger Bewegung",8,0.230128178,0,0,0,"FR11E"
2011,"TI","MontagnaViva",8,1.7916607388,0,0,0,
2011,"BE","parteifrei.ch",8,0.2326344904,0,0,0,
2011,"BS","parteifrei.ch",8,0.4826453441,0,0,0,
2011,"FR","parteifrei.ch",8,0.4397817167,0,0,0,
2011,"LU","parteifrei.ch",8,0.1508490881,0,0,0,
2011,"SO","parteifrei.ch",8,1.3384436952,0,0,0,
2011,"ZH","parteifrei.ch",8,0.4362724494,0,0,0,
2011,"FR","Politique Intégrale / Integrale Politik",8,0.2580481408,0,0,0,
2011,"BE","Partei national orientierter Schweizer",8,0.3016152199,0,0,0,
2011,"VD","Parti Nationaliste Suisse",8,0.0809232225,0,0,0,
2011,"AG","Piratenpartei",8,0.7745003919,0,0,0,
2011,"BE","Piratenpartei",8,0.7346300782,0,0,0,"BE11D"
2011,"BS","Piratenpartei",8,1.9183076729,0,0,0,
2011,"FR","Piratenpartei",8,0.614239181,0,0,0,"FR11E"
2011,"GE","Parti Pirate",8,0.8999310781,0,0,0,
2011,"VD","Parti Pirate",8,0.986558751,0,0,0,
2011,"ZH","Piratenpartei",8,0.8614200271,0,0,0,"ZH11D"
2011,"BE","Les Rauraques",8,0.1938185475,0,0,0,"BE11D"
2011,"TI","Rafforzare le famiglie",8,0.2818771608,0,0,0,
2011,"TI","Svizzera Italiana",8,0.2575873767,0,0,0,
2011,"AG","Sozio-Liberale Bewegung",8,0.4764447978,0,0,0,"AG11B"
2011,"BE","Sozio-Liberale Bewegung ",8,0.2766193632,0,0,0,
2011,"ZH","Schweizerische Narrenpartei",8,0.0614753773,0,0,0,
2011,"SZ","Schwyzer Unternehmer",8,1.9417526942,0,0,0,"SZ11C"
2011,"ZH","Subitas",8,0.0143497859,0,0,0,
2011,"BE","Tierpartei",8,0.1904886685,0,0,0,"BE11C"
2011,"LU","Tierpartei",8,0.3058066046,0,0,0,
2011,"SO","Tierpartei ",8,0.9829758207,0,0,0,
2011,"ZH","Tierpartei",8,0.4001635111,0,0,0,"ZH11C"
2011,"BS","Volks-Aktion gegen zuviele Ausländer und Asylanten in unserer Heimat ",8,1.4612927098,0,0,0,
2011,"TI","Verdi liberali democratici della Svizzera Italiana",8,1.0523259782,0,0,0,
2011,"AI","Vereinzelte",8,3.5758021063,0,0,0,
2011,"AR","Vereinzelte",8,1.0221660733,0,0,0,
2011,"GL","Vereinzelte",8,13.7288342064,0,0,0,
2011,"UR","Vereinzelte",8,4.2639175258,0,0,0,
2011,"AG",,32,6.14281402779886,1,0,1,"AG11B"
2011,"BE",,32,14.8802935691004,4,0,4,
2011,"BL",,32,6.35184229237078,0,0,0,"BL11B"
2011,"BS",,32,2.23092612313413,0,0,0,"BS11B"
2011,"FR",,32,1.89178899276619,0,0,0,"FR11D"
2011,"GL",,32,61.7127542940675,1,0,1,
2011,"GR",,32,20.4542221318972,1,0,1,
2011,"LU",,32,2.13839822453879,0,0,0,"LU11C"
2011,"NE",,32,1.48509775073007,0,0,0,"NE11A"
2011,"SG",,32,3.78943778736815,0,0,0,"SG11D"
2011,"SO",,32,4.36360126744827,0,0,0,"SO11B"
2011,"SZ",,32,3.44620221447373,0,0,0,"SZ11C"
2011,"TG",,32,4.95844970863074,0,0,0,"TG11B"
2011,"VD",,32,0.831486958286094,0,0,0,"VD11C"
2011,"VS",,32,0.631329100831804,0,0,0,
2011,"ZH",,32,5.27746743089197,2,0,2,"ZH11C"
2011,"FR",,8,5.46977452514912,0,0,0,"FR11A"
2011,"VS",,8,0.719982316638554,0,0,0,"VS11A"
2011,"ZH",,8,0.156729385836379,0,0,0,"ZH11B"
2011,"AG",,2,10.5928237299872,1,0,1,"AG11B"
2011,"AI",,2,76.0960078373745,1,0,1,
2011,"AR",,2,10.5662110945216,0,0,0,
2011,"BE",,2,2.06658169308679,0,0,0,"BE11C"
2011,"BL",,2,8.24348322960394,1,1,0,"BL11B"
2011,"BS",,2,6.52744436221865,1,1,0,"BS11B"
2011,"FR",,2,20.2563560218283,2,0,2,"FR11D"
2011,"GE",,2,9.77259440970817,1,0,1,"GE11B"
2011,"GR",,2,16.6368593977577,1,0,1,
2011,"JU",,2,33.2460554176817,1,0,1,
2011,"LU",,2,27.1101237102054,3,0,3,"LU11A"
2011,"NE",,2,3.49227579749883,0,0,0,"NE11A"
2011,"SG",,2,20.3210879714014,3,0,3,"SG11A"
2011,"SH",,2,5.22786602740193,0,0,0,"SH11B"
2011,"SO",,2,17.8555128601505,2,1,1,"SO11C"
2011,"SZ",,2,20.5537766852525,1,0,1,
2011,"TG",,2,14.3730675953703,1,0,1,
2011,"TI",,2,19.9608818810934,2,0,2,
2011,"VD",,2,4.62762953897474,1,0,1,"VD11C"
2011,"VS",,2,39.9039944774957,3,-1,4,
2011,"ZG",,2,24.2902208201893,1,0,1,"ZG11B"
2011,"ZH",,2,5.03028894220939,2,0,2,"ZH11C"
2011,"AG",,16,1.17154379109095,0,0,0,"AG11A"
2011,"BE",,16,3.10391518689273,0,0,0,
2011,"BS",,16,0.511885637961843,0,0,0,"BS11D"
2011,"FR",,16,0.707813359279157,0,0,0,"FR11C"
2011,"GR",,16,0.50773972834739,0,0,0,"GR11B"
2011,"SG",,16,1.22355625066146,0,0,0,"SG11B"
2011,"SH",,16,3.78440171304748,0,0,0,"SH11C"
2011,"SO",,16,0.485517096974188,0,0,0,"SO11A"
2011,"TG",,16,3.48217877544452,0,0,0,"TG11B"
2011,"VD",,16,1.09722269738881,0,0,0,"VD11C"
2011,"ZH",,16,2.16826779687283,0,0,0,"ZH11A"
2011,"AG",,7,3.22130855398076,0,0,0,"AG11C"
2011,"BE",,7,4.17350280313788,1,0,1,"BE11C"
2011,"BL",,7,3.28687425530741,0,0,0,"BL11B"
2011,"BS",,7,2.49805967185892,0,0,0,"BS11B"
2011,"FR",,7,0.697829857438978,0,0,0,"FR11A"
2011,"GE",,7,1.01730940247183,0,0,0,
2011,"LU",,7,0.745640996224122,0,0,0,"LU11C"
2011,"SG",,7,1.8260445207493,0,0,0,"SG11A"
2011,"SO",,7,1.46244031231443,0,0,0,"SO11C"
2011,"SZ",,7,1.10618185270954,0,0,0,"SZ11A"
2011,"TG",,7,2.93024378469708,0,0,0,"TG11B"
2011,"VD",,7,1.06443337993165,0,0,0,"VD11C"
2011,"ZH",,7,3.06994514182913,1,0,1,"ZH11C"
2011,"AG",,1,11.483422728168,2,0,2,
2011,"AR",,1,51.510279085793,1,0,1,
2011,"BE",,1,8.65559616097593,2,0,2,
2011,"BL",,1,11.4503283952301,1,0,1,
2011,"BS",,1,19.1339819143368,1,0,1,"BS11A"
2011,"FR",,1,12.7985109353188,1,0,1,
2011,"GE",,1,18.6471849851189,2,0,2,"GE11B"
2011,"GR",,1,11.9005521119127,0,0,0,
2011,"JU",,1,9.49659616128959,0,0,0,
2011,"LU",,1,18.374054576983,2,0,2,
2011,"NE",,1,26.8606076818476,2,0,2,"NE11A"
2011,"NW",,1,35.2020202020202,0,0,0,
2011,"SG",,1,12.2641964275215,1,0,1,
2011,"SH",,1,12.2950400109198,0,0,0,"SH11B"
2011,"SO",,1,18.4079357834934,1,-1,2,"SO11B"
2011,"SZ",,1,15.4786333352675,1,1,0,"SZ11C"
2011,"TG",,1,11.249267266646,0,-1,1,
