"year","canton","party","party_id","seats_with","seat_difference","seats_without"
1995,"FR",,8,1,1,0
1999,"FR",,8,1,1,0
2003,"FR",,8,1,1,0
2007,"FR",,8,1,1,0
1995,"AG",,2,2,0,2
1995,"AI",,2,1,0,1
1995,"BE",,2,1,1,0
1995,"BL",,2,1,0,1
1995,"BS",,2,0,-1,1
1995,"FR",,2,3,-1,4
1995,"GE",,2,1,-1,2
1995,"GR",,2,1,0,1
1995,"JU",,2,1,0,1
1995,"LU",,2,4,0,4
1995,"OW",,2,1,0,1
1995,"SG",,2,4,-1,5
1995,"SO",,2,2,0,2
1995,"SZ",,2,1,0,1
1995,"TG",,2,1,0,1
1995,"TI",,2,2,-1,3
1995,"VD",,2,1,0,1
1995,"VS",,2,4,0,4
1995,"ZG",,2,1,0,1
1995,"ZH",,2,2,1,1
1999,"AG",,2,3,0,3
1999,"AI",,2,1,0,1
1999,"BE",,2,1,1,0
1999,"BL",,2,1,0,1
1999,"FR",,2,2,-1,3
1999,"GE",,2,2,0,2
1999,"GR",,2,1,0,1
1999,"JU",,2,1,0,1
1999,"LU",,2,4,0,4
1999,"OW",,2,1,0,1
1999,"SG",,2,4,0,4
1999,"SO",,2,2,0,2
1999,"SZ",,2,1,0,1
1999,"TG",,2,1,0,1
1999,"TI",,2,2,0,2
1999,"VD",,2,1,0,1
1999,"VS",,2,4,0,4
1999,"ZG",,2,1,0,1
1999,"ZH",,2,2,0,2
2003,"AG",,2,2,0,2
2003,"AI",,2,1,0,1
2003,"BE",,2,1,1,0
2003,"BL",,2,1,0,1
2003,"FR",,2,2,0,2
2003,"GE",,2,1,0,1
2003,"GR",,2,1,0,1
2003,"JU",,2,1,0,1
2003,"LU",,2,3,0,3
2003,"OW",,2,1,0,1
2003,"SG",,2,3,0,3
2003,"SO",,2,1,0,1
2003,"SZ",,2,1,0,1
2003,"TG",,2,1,0,1
2003,"TI",,2,2,0,2
2003,"VD",,2,0,-1,1
2003,"VS",,2,3,-1,4
2003,"ZG",,2,1,0,1
2003,"ZH",,2,2,0,2
2007,"AG",,2,3,1,2
2007,"AI",,2,1,0,1
2007,"BE",,2,1,0,1
2007,"BL",,2,1,0,1
2007,"FR",,2,2,0,2
2007,"GE",,2,1,0,1
2007,"GR",,2,1,0,1
2007,"JU",,2,0,-1,1
2007,"LU",,2,3,0,3
2007,"SG",,2,3,0,3
2007,"SO",,2,2,0,2
2007,"SZ",,2,1,0,1
2007,"TG",,2,1,0,1
2007,"TI",,2,2,0,2
2007,"VD",,2,1,0,1
2007,"VS",,2,4,0,4
2007,"ZG",,2,1,0,1
2007,"ZH",,2,3,1,2
1995,"BE",,16,1,0,1
1999,"BE",,16,1,0,1
2003,"BE",,16,1,0,1
2003,"ZH",,16,1,1,0
2007,"BE",,16,1,0,1
1995,"BE",,7,1,0,1
1995,"ZH",,7,1,0,1
1999,"AG",,7,1,1,0
1999,"BE",,7,1,0,1
1999,"ZH",,7,1,0,1
2003,"AG",,7,1,0,1
2003,"BE",,7,1,0,1
2003,"ZH",,7,1,0,1
2007,"BE",,7,1,0,1
2007,"ZH",,7,1,0,1
1995,"AG",,1,3,0,3
1995,"AR",,1,1,0,1
1995,"BE",,1,4,-1,5
1995,"BL",,1,1,0,1
1995,"BS",,1,2,0,2
1995,"FR",,1,1,0,1
1995,"GE",,1,4,0,4
1995,"GR",,1,1,0,1
1995,"LU",,1,3,0,3
1995,"NE",,1,3,0,3
1995,"NW",,1,1,0,1
1995,"SG",,1,2,-1,3
1995,"SH",,1,1,0,1
1995,"SO",,1,2,0,2
1995,"SZ",,1,1,0,1
1995,"TG",,1,1,0,1
1995,"TI",,1,3,0,3
1995,"UR",,1,1,0,1
1995,"VD",,1,8,0,8
1995,"VS",,1,2,0,2
1995,"ZG",,1,1,0,1
1995,"ZH",,1,6,-1,7
1999,"AG",,1,3,0,3
1999,"AR",,1,1,0,1
1999,"BE",,1,5,0,5
1999,"BL",,1,2,0,2
1999,"BS",,1,2,0,2
1999,"FR",,1,1,0,1
1999,"GE",,1,4,1,3
1999,"GR",,1,1,0,1
1999,"LU",,1,2,0,2
1999,"NE",,1,2,0,2
1999,"NW",,1,1,0,1
1999,"SG",,1,2,0,2
1999,"SH",,1,1,0,1
1999,"SO",,1,2,0,2
1999,"SZ",,1,1,0,1
1999,"TG",,1,1,0,1
1999,"TI",,1,2,0,2
1999,"UR",,1,1,0,1
1999,"VD",,1,7,0,7
